Al,"23/02/2024"
 
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","IT","Azionario","1.276.607.969,84","6,51","1.276.607.969,84","57.821.000,00","22,08","Taiwan","Taiwan Stock Exchange","TWD"
"005930","SAMSUNG ELECTRONICS LTD","IT","Azionario","615.695.638,48","3,14","615.695.638,48","11.241.724,00","54,77","Corea","Korea Exchange (Stock Market)","KRW"
"700","TENCENT HOLDINGS LTD","Comunicazione","Azionario","581.969.427,94","2,97","581.969.427,94","15.658.740,00","37,17","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"9988","ALIBABA GROUP HOLDING LTD","Consumi Discrezionali","Azionario","364.696.534,35","1,86","364.696.534,35","38.276.748,00","9,53","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energia","Azionario","251.668.700,00","1,28","251.668.700,00","6.988.340,00","36,01","India","National Stock Exchange Of India","INR"
"PDD","PDD HOLDINGS ADS INC","Consumi Discrezionali","Azionario","180.002.166,89","0,92","180.002.166,89","1.409.681,00","127,69","Cina","NASDAQ","USD"
"INFY","INFOSYS LTD","IT","Azionario","158.180.424,18","0,81","158.180.424,18","7.824.830,00","20,22","India","National Stock Exchange Of India","INR"
"ICICIBC","ICICI BANK LTD","Finanziari","Azionario","156.944.852,08","0,80","156.944.852,08","12.266.631,00","12,79","India","National Stock Exchange Of India","INR"
"000660","SK HYNIX INC","IT","Azionario","155.121.278,69","0,79","155.121.278,69","1.279.270,00","121,26","Corea","Korea Exchange (Stock Market)","KRW"
"939","CHINA CONSTRUCTION BANK CORP H","Finanziari","Azionario","142.338.359,49","0,73","142.338.359,49","223.637.000,00","0,64","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"2454","MEDIATEK INC","IT","Azionario","125.613.734,99","0,64","125.613.734,99","3.605.000,00","34,84","Taiwan","Taiwan Stock Exchange","TWD"
"3690","MEITUAN","Consumi Discrezionali","Azionario","125.031.045,32","0,64","125.031.045,32","12.003.594,00","10,42","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"4BRZ","ISHARES MSCI BRAZIL UCITS ET USDHA","Finanziari","Azionario","120.899.785,65","0,62","120.899.785,65","2.979.662,00","40,58","Germania","Xetra","USD"
"HDFCB","HDFC BANK LTD","Finanziari","Azionario","112.887.794,90","0,58","112.887.794,90","6.591.611,00","17,13","India","National Stock Exchange Of India","INR"
"TCS","TATA CONSULTANCY SERVICES LTD","IT","Azionario","105.124.858,88","0,54","105.124.858,88","2.151.997,00","48,85","India","National Stock Exchange Of India","INR"
"1120","AL RAJHI BANK","Finanziari","Azionario","101.460.742,94","0,52","101.460.742,94","4.200.094,00","24,16","Arabia Saudita","Saudi Stock Exchange","SAR"
"9999","NETEASE INC","Comunicazione","Azionario","99.092.965,91","0,51","99.092.965,91","4.574.295,00","21,66","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
