Al,23/02/2024,,,,,,,,,,
 ,,,,,,,,,,,
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
MSFT,MICROSOFT CORP,IT,Azionario,"3.275.286.280,56","4,54","3.275.286.280,56","7.981.884,00","410,34",Stati Uniti,NASDAQ,USD
AAPL,APPLE INC,IT,Azionario,"3.227.021.132,40","4,48","3.227.021.132,40","17.680.370,00","182,52",Stati Uniti,NASDAQ,USD
NVDA,NVIDIA CORP,IT,Azionario,"2.201.581.073,94","3,05","2.201.581.073,94","2.793.282,00","788,17",Stati Uniti,NASDAQ,USD
AMZN,AMAZON COM INC,Consumi Discrezionali,Azionario,"1.837.648.910,49","2,55","1.837.648.910,49","10.501.451,00","174,99",Stati Uniti,NASDAQ,USD
META,META PLATFORMS INC CLASS A,Comunicazione,Azionario,"1.216.611.341,12","1,69","1.216.611.341,12","2.513.504,00","484,03",Stati Uniti,NASDAQ,USD
GOOGL,ALPHABET INC CLASS A,Comunicazione,Azionario,"965.943.959,68","1,34","965.943.959,68","6.709.808,00","143,96",Stati Uniti,NASDAQ,USD
GOOG,ALPHABET INC CLASS C,Comunicazione,Azionario,"857.870.471,31","1,19","857.870.471,31","5.904.539,00","145,29",Stati Uniti,NASDAQ,USD
LLY,ELI LILLY,Salute,Azionario,"702.145.225,88","0,97","702.145.225,88","912.422,00","769,54",Stati Uniti,New York Stock Exchange Inc.,USD
AVGO,BROADCOM INC,IT,Azionario,"650.664.955,81","0,90","650.664.955,81","501.913,00","1.296,37",Stati Uniti,NASDAQ,USD
TSLA,TESLA INC,Consumi Discrezionali,Azionario,"620.192.679,75","0,86","620.192.679,75","3.230.675,00","191,97",Stati Uniti,NASDAQ,USD
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Finanziari,Azionario,"617.206.062,60","0,86","617.206.062,60","1.479.330,00","417,22",Stati Uniti,New York Stock Exchange Inc.,USD
JPM,JPMORGAN CHASE & CO,Finanziari,Azionario,"603.448.562,10","0,84","603.448.562,10","3.279.790,00","183,99",Stati Uniti,New York Stock Exchange Inc.,USD
UNH,UNITEDHEALTH GROUP INC,Salute,Azionario,"552.880.208,44","0,77","552.880.208,44","1.048.631,00","527,24",Stati Uniti,New York Stock Exchange Inc.,USD
V,VISA INC CLASS A,Finanziari,Azionario,"514.452.101,60","0,71","514.452.101,60","1.814.006,00","283,60",Stati Uniti,New York Stock Exchange Inc.,USD
XOM,EXXON MOBIL CORP,Energia,Azionario,"470.483.879,36","0,65","470.483.879,36","4.530.854,00","103,84",Stati Uniti,New York Stock Exchange Inc.,USD
NOVO B,NOVO NORDISK CLASS B,Salute,Azionario,"453.470.508,05","0,63","453.470.508,05","3.679.120,00","123,26",Danimarca,Omx Nordic Exchange Copenhagen A/S,DKK
MA,MASTERCARD INC CLASS A,Finanziari,Azionario,"450.753.597,24","0,63","450.753.597,24","952.122,00","473,42",Stati Uniti,New York Stock Exchange Inc.,USD
JNJ,JOHNSON & JOHNSON,Salute,Azionario,"441.241.223,36","0,61","441.241.223,36","2.726.404,00","161,84",Stati Uniti,New York Stock Exchange Inc.,USD
PG,PROCTER & GAMBLE,Generi di largo consumo,Azionario,"429.264.434,26","0,60","429.264.434,26","2.665.742,00","161,03",Stati Uniti,New York Stock Exchange Inc.,USD
ASML,ASML HOLDING NV,IT,Azionario,"426.846.990,24","0,59","426.846.990,24","456.004,00","936,06",Paesi Bassi,Euronext Amsterdam,EUR
HD,HOME DEPOT INC,Consumi Discrezionali,Azionario,"421.157.289,40","0,58","421.157.289,40","1.132.265,00","371,96",Stati Uniti,New York Stock Exchange Inc.,USD
MRK,MERCK & CO INC,Salute,Azionario,"371.532.114,90","0,52","371.532.114,90","2.870.082,00","129,45",Stati Uniti,New York Stock Exchange Inc.,USD
COST,COSTCO WHOLESALE CORP,Generi di largo consumo,Azionario,"366.940.858,01","0,51","366.940.858,01","497.257,00","737,93",Stati Uniti,NASDAQ,USD
ABBV,ABBVIE INC,Salute,Azionario,"356.970.541,51","0,50","356.970.541,51","2.004.439,00","178,09",Stati Uniti,New York Stock Exchange Inc.,USD
NESN,NESTLE SA,Generi di largo consumo,Azionario,"327.516.562,96","0,45","327.516.562,96","3.026.308,00","108,22",Svizzera,SIX Swiss Exchange,CHF
AMD,ADVANCED MICRO DEVICES INC,IT,Azionario,"320.268.355,92","0,44","320.268.355,92","1.814.346,00","176,52",Stati Uniti,NASDAQ,USD
CRM,SALESFORCE INC,IT,Azionario,"320.103.600,00","0,44","320.103.600,00","1.093.250,00","292,80",Stati Uniti,New York Stock Exchange Inc.,USD
CVX,CHEVRON CORP,Energia,Azionario,"314.971.276,40","0,44","314.971.276,40","2.036.540,00","154,66",Stati Uniti,New York Stock Exchange Inc.,USD
WMT,WALMART INC,Generi di largo consumo,Azionario,"294.511.731,36","0,41","294.511.731,36","1.677.556,00","175,56",Stati Uniti,New York Stock Exchange Inc.,USD
NFLX,NETFLIX INC,Comunicazione,Azionario,"291.041.796,60","0,40","291.041.796,60","498.735,00","583,56",Stati Uniti,NASDAQ,USD
MC,LVMH,Consumi Discrezionali,Azionario,"286.512.138,57","0,40","286.512.138,57","311.448,00","919,93",Francia,Nyse Euronext - Euronext Paris,EUR
ADBE,ADOBE INC,IT,Azionario,"284.879.365,92","0,40","284.879.365,92","514.743,00","553,44",Stati Uniti,NASDAQ,USD
7203,TOYOTA MOTOR CORP,Consumi Discrezionali,Azionario,"282.851.834,46","0,39","282.851.834,46","12.092.900,00","23,39",Giappone,Tokyo Stock Exchange,JPY
KO,COCA-COLA,Generi di largo consumo,Azionario,"282.257.092,80","0,39","282.257.092,80","4.612.044,00","61,20",Stati Uniti,New York Stock Exchange Inc.,USD
BAC,BANK OF AMERICA CORP,Finanziari,Azionario,"274.744.164,48","0,38","274.744.164,48","8.099.769,00","33,92",Stati Uniti,New York Stock Exchange Inc.,USD
ACN,ACCENTURE PLC CLASS A,IT,Azionario,"265.969.472,12","0,37","265.969.472,12","704.891,00","377,32",Stati Uniti,New York Stock Exchange Inc.,USD
PEP,PEPSICO INC,Generi di largo consumo,Azionario,"264.757.302,40","0,37","264.757.302,40","1.561.069,00","169,60",Stati Uniti,NASDAQ,USD
LIN,LINDE PLC,Materiali,Azionario,"247.294.354,84","0,34","247.294.354,84","552.539,00","447,56",Stati Uniti,NASDAQ,USD
MCD,MCDONALDS CORP,Consumi Discrezionali,Azionario,"245.427.881,25","0,34","245.427.881,25","824.275,00","297,75",Stati Uniti,New York Stock Exchange Inc.,USD
TMO,THERMO FISHER SCIENTIFIC INC,Salute,Azionario,"245.313.412,26","0,34","245.313.412,26","434.406,00","564,71",Stati Uniti,New York Stock Exchange Inc.,USD
NOVN,NOVARTIS AG,Salute,Azionario,"241.258.498,37","0,33","241.258.498,37","2.319.773,00","104,00",Svizzera,SIX Swiss Exchange,CHF
SHEL,SHELL PLC,Energia,Azionario,"237.884.582,83","0,33","237.884.582,83","7.523.189,00","31,62",Regno unito,London Stock Exchange,GBP
ABT,ABBOTT LABORATORIES,Salute,Azionario,"233.440.847,64","0,32","233.440.847,64","1.954.134,00","119,46",Stati Uniti,New York Stock Exchange Inc.,USD
AZN,ASTRAZENECA PLC,Salute,Azionario,"227.858.686,13","0,32","227.858.686,13","1.758.518,00","129,57",Regno unito,London Stock Exchange,GBP
CSCO,CISCO SYSTEMS INC,IT,Azionario,"223.308.082,76","0,31","223.308.082,76","4.570.366,00","48,86",Stati Uniti,NASDAQ,USD
WFC,WELLS FARGO,Finanziari,Azionario,"221.835.659,56","0,31","221.835.659,56","4.118.746,00","53,86",Stati Uniti,New York Stock Exchange Inc.,USD
DIS,WALT DISNEY,Comunicazione,Azionario,"221.061.578,44","0,31","221.061.578,44","2.051.806,00","107,74",Stati Uniti,New York Stock Exchange Inc.,USD
SAP,SAP,IT,Azionario,"215.848.378,79","0,30","215.848.378,79","1.174.691,00","183,75",Germania,Xetra,EUR
ROG,ROCHE HOLDING PAR AG,Salute,Azionario,"211.427.420,01","0,29","211.427.420,01","801.541,00","263,78",Svizzera,SIX Swiss Exchange,CHF
INTU,INTUIT INC,IT,Azionario,"210.268.910,61","0,29","210.268.910,61","318.681,00","659,81",Stati Uniti,NASDAQ,USD
ORCL,ORACLE CORP,IT,Azionario,"208.151.657,65","0,29","208.151.657,65","1.859.327,00","111,95",Stati Uniti,New York Stock Exchange Inc.,USD
INTC,INTEL CORPORATION CORP,IT,Azionario,"204.489.931,14","0,28","204.489.931,14","4.756.686,00","42,99",Stati Uniti,NASDAQ,USD
DHR,DANAHER CORP,Salute,Azionario,"199.784.264,32","0,28","199.784.264,32","787.048,00","253,84",Stati Uniti,New York Stock Exchange Inc.,USD
CMCSA,COMCAST CORP CLASS A,Comunicazione,Azionario,"196.530.734,90","0,27","196.530.734,90","4.690.471,00","41,90",Stati Uniti,NASDAQ,USD
QCOM,QUALCOMM INC,IT,Azionario,"195.581.155,77","0,27","195.581.155,77","1.262.547,00","154,91",Stati Uniti,NASDAQ,USD
VZ,VERIZON COMMUNICATIONS INC,Comunicazione,Azionario,"193.843.093,90","0,27","193.843.093,90","4.767.415,00","40,66",Stati Uniti,New York Stock Exchange Inc.,USD
IBM,INTERNATIONAL BUSINESS MACHINES CO,IT,Azionario,"188.824.866,96","0,26","188.824.866,96","1.016.718,00","185,72",Stati Uniti,New York Stock Exchange Inc.,USD
